Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
496.4,0.08619,0.073051,0.081481,0.10904,0.9787,0.9787,0.9787,0.62464,0.58836,0.61542,0.53944,0.4854,0.51761,0.88708,0.9077200000000001,0.10904,0.0,0.0,5e-06,5.65e-20,3.1,3.1
496.8,0.081364,0.070097,0.077197,0.1033,0.9787,0.9787,0.9787,0.59972,0.5759,0.59366,0.53043,0.47588,0.50841,0.88697,0.90764,0.1033,0.0,0.0,5e-06,5.65e-20,3.1,3.1
497.2,0.075551,0.066302,0.071986,0.096328,0.97871,0.97871,0.97871,0.56652,0.55588,0.56381,0.52143,0.46636,0.49921,0.88686,0.90756,0.096328,0.0,0.0,5e-06,5.65e-20,3.1,3.1
497.6,0.077773,0.070837,0.074929,0.10027,0.97871,0.97871,0.97871,0.53034,0.53256,0.53092,0.57341,0.5201,0.55184,0.88675,0.9074800000000001,0.10027,0.0,0.0,5e-06,5.65e-20,3.1,3.1
498.0,0.07279,0.068657,0.07091,0.094886,0.97871,0.97871,0.97871,0.45746,0.46854,0.46041,0.62221,0.57301,0.60226,0.88664,0.9074,0.094886,0.0,0.0,5e-06,5.65e-20,3.1,3.1
498.4,0.060303,0.058269,0.059122,0.079111,0.9787,0.9787,0.9787,0.38457,0.40452,0.38989,0.6133,0.5634,0.59308,0.88653,0.90732,0.079111,0.0,0.0,5e-06,5.65e-20,3.1,3.1
498.8,0.048276,0.047947,0.047687,0.063809,0.9787,0.9787,0.9787,0.31248,0.33871,0.31951,0.60439,0.55379,0.5839,0.88643,0.90724,0.063809,0.0,0.0,5e-06,5.65e-20,3.1,3.1
499.2,0.0369,0.0373,0.036637,0.049023,0.97869,0.97869,0.97869,0.24248,0.26822,0.24945,0.59549,0.54417,0.57472,0.88632,0.9071600000000001,0.049023,0.0,0.0,5e-06,5.65e-20,3.1,3.1
499.6,0.025847,0.027005,0.025921,0.034684,0.97867,0.97867,0.97867,0.17247,0.19773,0.1794,0.58658,0.53456,0.56554,0.88621,0.90708,0.034684,0.0,0.0,5e-06,5.65e-20,3.1,3.1
500.0,0.08169,0.06802,0.077027,0.10306,0.97865,0.97865,0.97865,0.55365,0.50729,0.54204,0.57767,0.52495,0.55635,0.8861,0.907,0.10306,0.0,0.0,5e-06,5.65e-20,3.1,3.1
500.4,0.085411,0.072401,0.080836,0.10816,0.97863,0.97863,0.97863,0.58814,0.55024,0.5786,0.56876,0.51534,0.54717,0.88599,0.907,0.10816,0.0,0.0,5e-06,5.65e-20,3.1,3.1
500.8,0.088969,0.076567,0.084469,0.11302,0.9786,0.9786,0.9786,0.62263,0.59318,0.61515,0.55985,0.50573,0.53799,0.88588,0.907,0.11302,0.0,0.0,5e-06,5.65e-20,3.1,3.1
501.2,0.086565,0.075676,0.082471,0.11034,0.97857,0.97857,0.97857,0.61584,0.59786,0.61127,0.55094,0.49612,0.52881,0.88577,0.907,0.11034,0.0,0.0,5e-06,5.65e-20,3.1,3.1
501.6,0.080769,0.071914,0.077277,0.10339,0.97854,0.97854,0.97854,0.58428,0.57959,0.58312,0.54203,0.48651,0.51963,0.88566,0.907,0.10339,0.0,0.0,5e-06,5.65e-20,3.1,3.1
502.0,0.079363,0.07276,0.076556,0.10243,0.9785,0.9785,0.9785,0.55272,0.56132,0.55497,0.56323,0.50847,0.54111,0.88555,0.907,0.10243,0.0,0.0,5e-06,5.65e-20,3.1,3.1
502.4,0.078472,0.074727,0.076635,0.10253,0.97846,0.97846,0.97846,0.48959,0.5065,0.49405,0.62901,0.57899,0.60874,0.88544,0.907,0.10253,0.0,0.0,5e-06,5.65e-20,3.1,3.1
502.8,0.067474,0.065764,0.066333,0.088747,0.97841,0.97841,0.97841,0.41729,0.44108,0.42361,0.63486,0.5854,0.61482,0.88533,0.907,0.088747,0.0,0.0,5e-06,5.65e-20,3.1,3.1
503.2,0.054962,0.055042,0.054435,0.072828,0.97837,0.97837,0.97837,0.34499,0.37565,0.35316,0.62581,0.57557,0.60546,0.88522,0.907,0.072828,0.0,0.0,5e-06,5.65e-20,3.1,3.1
503.6,0.04311,0.043873,0.042895,0.057388,0.97832,0.97832,0.97832,0.2747,0.30477,0.2828,0.61676,0.56574,0.59611,0.88511,0.907,0.057388,0.0,0.0,5e-06,5.65e-20,3.1,3.1
