Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,TAU_spectr,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
990.4,0.048899,0.09165,0.060172,0.079878,0.98191,0.98191,0.98191,0.26584,0.50665,0.3291,0.81444,0.80096,0.80957,0.78152,0.93616,0.079878,0.0,0.0,5e-06,5.65e-20,3.1,3.1
991.2,0.073929,0.11821,0.084854,0.11264,0.98187,0.98187,0.98187,0.40692,0.67021,0.47246,0.80347,0.78,0.79427,0.78164,0.9364800000000001,0.11264,0.0,0.0,5e-06,5.65e-20,3.1,3.1
992.0,0.081926,0.13139,0.09418,0.12502,0.98184,0.98184,0.98184,0.45659,0.76456,0.534,0.79249,0.75903,0.77897,0.78176,0.9368,0.12502,0.0,0.0,5e-06,5.65e-20,3.1,3.1
992.8,0.089674,0.14368,0.10308,0.13683,0.98181,0.98181,0.98181,0.50625,0.85891,0.59553,0.78152,0.73806,0.76367,0.78189,0.93712,0.13683,0.0,0.0,5e-06,5.65e-20,3.1,3.1
993.6,0.090387,0.14463,0.10391,0.13793,0.98179,0.98179,0.98179,0.51709,0.88908,0.61206,0.77054,0.7171,0.74837,0.78201,0.9374399999999999,0.13793,0.0,0.0,5e-06,5.65e-20,3.1,3.1
994.4,0.090075,0.14382,0.10354,0.13744,0.98177,0.98177,0.98177,0.52238,0.91008,0.62216,0.75957,0.69613,0.73307,0.78214,0.9377599999999999,0.13744,0.0,0.0,5e-06,5.65e-20,3.1,3.1
995.2,0.10187,0.17748,0.12149,0.16127,0.98175,0.98175,0.98175,0.5245,0.92527,0.62839,0.85511,0.84448,0.85116,0.78226,0.93804,0.16127,0.0,0.0,5e-06,5.65e-20,3.1,3.1
996.0,0.095345,0.1758,0.11666,0.15486,0.98174,0.98174,0.98174,0.48741,0.86876,0.58694,0.86075,0.89041,0.87458,0.78239,0.9381999999999999,0.15486,0.0,0.0,5e-06,5.65e-20,3.1,3.1
996.8,0.087119,0.16079,0.10671,0.14165,0.98173,0.98173,0.98173,0.45032,0.81225,0.54549,0.85095,0.8707,0.86048,0.78251,0.93836,0.14165,0.0,0.0,5e-06,5.65e-20,3.1,3.1
997.6,0.077867,0.1438,0.095478,0.12674,0.98172,0.98172,0.98172,0.40707,0.74305,0.49606,0.84115,0.85099,0.84638,0.78263,0.9385199999999999,0.12674,0.0,0.0,5e-06,5.65e-20,3.1,3.1
998.4,0.065525,0.12067,0.080305,0.10659,0.98172,0.98172,0.98172,0.34652,0.63818,0.42421,0.83135,0.83128,0.83227,0.78276,0.93868,0.10659,0.0,0.0,5e-06,5.65e-20,3.1,3.1
999.2,0.053448,0.098466,0.065587,0.087057,0.98172,0.98172,0.98172,0.28596,0.5333,0.35236,0.82156,0.81158,0.81817,0.78287,0.93884,0.087057,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1000.0,0.074019,0.11537,0.084429,0.11207,0.98173,0.98173,0.98173,0.40067,0.64022,0.46139,0.81176,0.79187,0.80406,0.78295,0.939,0.11207,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1000.8,0.082309,0.12898,0.0941,0.1249,0.98174,0.98174,0.98174,0.45088,0.73381,0.5233,0.80196,0.77216,0.78996,0.78304,0.9390799999999999,0.1249,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1001.6,0.090395,0.14178,0.1034,0.13724,0.98176,0.98176,0.98176,0.50109,0.8274,0.58521,0.79216,0.75245,0.77585,0.78312,0.93916,0.13724,0.0,0.0,5e-06,5.65e-20,3.1,3.1
1002.4,0.093379,0.14639,0.10683,0.14179,0.98177,0.98177,0.98177,0.52384,0.87681,0.6155,0.78236,0.73274,0.76175,0.7832,0.93924,0.14179,0.0,0.0,5e-06,5.65e-20,3.1,3.1
