Wave,TAU_spectrpol_S,TAU_spectrpol_P,TAU_spectrpol,flip_TE,flip_TM,flip_NP,polarimeter_TAU,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
115.6,0.0050422,0.0010346,0.0043096,0.62171,0.59903,0.64438,0.12519,0.67736,0.67726,0.67747,0.39207,0.076033,0.311,0.88249,0.96946,0.91699,0.60245,0.7515999999999999,0.0043096,0.0,1.97e-05,5e-06,1.143e-20,3.1,3.1
115.7,0.0045553,0.00098033,0.0039075,0.62129,0.59802,0.64456,0.12497,0.67702,0.67692,0.67713,0.35576,0.072159,0.28252,0.8827,0.97344,0.91861,0.60205,0.7532000000000001,0.0039075,0.0,2.01e-05,5e-06,1.158e-20,3.1,3.1
115.8,0.0040733,0.00092635,0.0035074,0.62088,0.59702,0.64474,0.12476,0.6767,0.67658,0.6768,0.31946,0.068285,0.25404,0.8829,0.97741,0.92022,0.60164,0.7547999999999999,0.0035074,0.0,2.05e-05,5e-06,1.174e-20,3.1,3.1
115.9,0.0035952,0.00087265,0.0031089,0.62048,0.59602,0.64494,0.12457,0.67636,0.67626,0.67647,0.28315,0.064411,0.22555,0.8831,0.98139,0.92184,0.60123,0.7564000000000001,0.0031089,0.0,2.09e-05,5e-06,1.191e-20,3.1,3.1
116.0,0.0065578,0.0013061,0.0056461,0.62009,0.59503,0.64514,0.12438,0.67604,0.67593,0.67615,0.51838,0.096918,0.41084,0.88359,0.98141,0.92215,0.60082,0.758,0.0056461,0.0,2.13e-05,5e-06,1.208e-20,3.1,3.1
116.1,0.0069573,0.0014565,0.0060024,0.6197,0.59405,0.64535,0.1242,0.67573,0.67561,0.67584,0.55212,0.10866,0.43814,0.88377,0.98123,0.9222,0.60041,0.7585999999999999,0.0060024,0.0,2.18e-05,5e-06,1.226e-20,3.1,3.1
116.2,0.0073539,0.0016054,0.006357,0.61932,0.59308,0.64557,0.12403,0.67541,0.67529,0.67553,0.58586,0.1204,0.46543,0.88395,0.98104,0.92224,0.6,0.7592,0.006357,0.0,2.23e-05,5e-06,1.245e-20,3.1,3.1
116.3,0.0077484,0.0017529,0.0067098,0.61895,0.59211,0.64579,0.12387,0.6751,0.67499,0.67522,0.6196,0.13214,0.49272,0.88414,0.98086,0.92229,0.59959,0.7598,0.0067098,0.0,2.27e-05,5e-06,1.264e-20,3.1,3.1
116.4,0.0081407,0.0018989,0.0070617,0.61858,0.59115,0.64602,0.12372,0.6748,0.67468,0.67493,0.65334,0.14388,0.52001,0.88432,0.98067,0.92233,0.59917,0.7604000000000001,0.0070617,0.0,2.33e-05,5e-06,1.284e-20,3.1,3.1
116.5,0.0085313,0.0020438,0.0074119,0.61823,0.59019,0.64626,0.12358,0.67451,0.67439,0.67463,0.68708,0.15562,0.5473,0.8845,0.98049,0.92237,0.59876,0.761,0.0074119,0.0,2.38e-05,5e-06,1.305e-20,3.1,3.1
116.6,0.0089197,0.0021872,0.0077611,0.61788,0.58925,0.64651,0.12344,0.67422,0.67409,0.67434,0.72082,0.16736,0.57459,0.88468,0.9803,0.92242,0.59835,0.7615999999999999,0.0077611,0.0,2.42e-05,5e-06,1.328e-20,3.1,3.1
116.7,0.0090974,0.0023027,0.0079314,0.61754,0.58831,0.64676,0.12332,0.67393,0.6738,0.67405,0.73765,0.17704,0.58871,0.88487,0.98012,0.92246,0.59793,0.7622,0.0079314,0.0,2.47e-05,5e-06,1.351e-20,3.1,3.1
116.8,0.0092229,0.0024106,0.008058,0.61721,0.58738,0.64703,0.1232,0.67365,0.67353,0.67378,0.75024,0.1862,0.59953,0.88505,0.97994,0.92251,0.59752,0.7628,0.008058,0.0,2.52e-05,5e-06,1.376e-20,3.1,3.1
116.9,0.009348,0.0025175,0.008184,0.61688,0.58646,0.6473,0.12309,0.67337,0.67324,0.6735,0.76284,0.19536,0.61036,0.88523,0.97975,0.92256,0.5971,0.7634000000000001,0.008184,0.0,2.57e-05,5e-06,1.402e-20,3.1,3.1
117.0,0.0094735,0.0026239,0.0083106,0.61657,0.58556,0.64758,0.12299,0.6731,0.67297,0.67324,0.77543,0.20453,0.62118,0.88542,0.97957,0.9226,0.59668,0.764,0.0083106,0.0,2.63e-05,5e-06,1.429e-20,3.1,3.1
117.1,0.009599,0.0027294,0.0084368,0.61626,0.58466,0.64786,0.12289,0.67284,0.67271,0.67297,0.78803,0.21369,0.63201,0.8856,0.97938,0.92264,0.59627,0.7652,0.0084368,0.0,2.68e-05,5e-06,1.457e-20,3.1,3.1
117.2,0.0097244,0.0028342,0.0085637,0.61596,0.58377,0.64816,0.1228,0.67258,0.67245,0.67272,0.80062,0.22285,0.64283,0.88578,0.9792,0.92269,0.59585,0.7664000000000001,0.0085637,0.0,2.74e-05,5e-06,1.486e-20,3.1,3.1
