Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
135.13,0.062897,0.052053,0.058809,0.61775,0.89741,0.89724,0.89732,0.576,0.48777,0.54331,0.84379,0.82509,0.83667,0.5281,0.73087,0.058809,0.0,7.282000000000003e-06,5e-06,7.5025e-21,3.1,3.1
135.33,0.057001,0.046754,0.053137,0.62815,0.89734,0.89717,0.89725,0.51656,0.43473,0.4863,0.8356,0.81487,0.82769,0.529,0.7306699999999999,0.053137,0.0,7.151999999999989e-06,5e-06,7.451499999999995e-21,3.1,3.1
135.53,0.049652,0.040379,0.046158,0.63854,0.89727,0.8971,0.89719,0.44543,0.37269,0.41859,0.82741,0.80464,0.81871,0.52989,0.73047,0.046158,0.0,7.029000000000003e-06,5e-06,7.401800000000001e-21,3.1,3.1
135.73,0.042135,0.033894,0.039032,0.64894,0.8972,0.89704,0.89712,0.37429,0.31066,0.35088,0.81921,0.79442,0.80972,0.53077,0.73027,0.039032,0.0,6.902000000000003e-06,5e-06,7.355100000000001e-21,3.1,3.1
135.93,0.034453,0.027305,0.031765,0.65934,0.89714,0.89697,0.89705,0.30316,0.24862,0.28318,0.81102,0.7842,0.80074,0.53165,0.73007,0.031765,0.0,6.7819999999999894e-06,5e-06,7.310399999999996e-21,3.1,3.1
136.13,0.062369,0.04861,0.057204,0.65692,0.89707,0.8969,0.89698,0.55442,0.44846,0.51576,0.80282,0.77398,0.79176,0.53251,0.73013,0.057204,0.0,6.662000000000003e-06,5e-06,7.2677e-21,3.1,3.1
136.33,0.067056,0.052203,0.061468,0.6476,0.897,0.89683,0.89692,0.60868,0.49329,0.56657,0.79463,0.76376,0.78278,0.53337,0.73033,0.061468,0.0,6.544999999999991e-06,5e-06,7.225999999999997e-21,3.1,3.1
136.53,0.071497,0.055577,0.065495,0.63827,0.89693,0.89677,0.89685,0.66294,0.53811,0.61738,0.78644,0.75354,0.77379,0.53421,0.73053,0.065495,0.0,6.435000000000002e-06,5e-06,7.186e-21,3.1,3.1
136.73,0.075696,0.058731,0.069285,0.62895,0.89687,0.8967,0.89678,0.7172,0.58294,0.66818,0.77824,0.74332,0.76481,0.53505,0.73073,0.069285,0.0,6.325000000000002e-06,5e-06,7.1473e-21,3.1,3.1
136.93,0.079649,0.061669,0.072842,0.61963,0.8968,0.89663,0.89672,0.77146,0.62776,0.71899,0.77005,0.7331,0.75583,0.53588,0.73093,0.072842,0.0,6.22199999999999e-06,5e-06,7.110299999999997e-21,3.1,3.1
137.13,0.078226,0.059982,0.071318,0.6173,0.89673,0.89657,0.89665,0.76608,0.61942,0.71266,0.76185,0.72288,0.74685,0.5367,0.73061,0.071318,0.0,6.1150000000000024e-06,5e-06,7.073900000000001e-21,3.1,3.1
